A	A	100.000	28	0	0	1	28	1	28	4.36e-13	46.6
A	Z;phi	100.000	27	0	0	2	28	2	28	3.76e-12	44.3
A	D	100.000	27	0	0	2	28	2	28	3.88e-12	44.3
A	E	100.000	27	0	0	2	28	2	28	3.92e-12	44.3
A	UP10	96.296	27	1	0	2	28	2	28	9.76e-12	43.1
A	36	96.296	27	1	0	2	28	2	28	1.04e-11	43.1
A	159	92.593	27	2	0	2	28	2	28	1.83e-11	42.7
A	98	96.296	27	1	0	2	28	2	28	2.04e-11	42.4
A	65	96.296	27	1	0	2	28	2	28	2.51e-11	42.4
A	Ph14	92.593	27	2	0	2	28	2	28	3.73e-11	42.0
A	137	92.593	27	2	0	2	28	2	28	6.39e-11	41.2
A	96	92.593	27	2	0	2	28	2	28	7.21e-11	41.2
A	UP34	92.593	27	2	0	2	28	2	28	9.07e-11	40.8
A	UP9	92.593	27	2	0	2	28	2	28	9.58e-11	40.8
A	160-2	88.889	27	3	0	2	28	2	28	1.39e-10	40.4
A	UP5	88.889	27	3	0	2	28	2	28	2.23e-10	39.7
A	UP1	92.593	27	2	0	2	28	2	28	2.78e-10	39.7
A	MGl10	92.593	27	2	0	2	28	2	28	3.50e-10	39.3
A	14	92.593	27	2	0	2	28	2	28	3.50e-10	39.3
A	129	81.481	27	5	0	2	28	2	28	4.71e-10	38.9
A	107;Ph12	88.889	27	3	0	2	28	2	28	6.99e-10	38.5
A	EV9	92.308	26	2	0	3	28	3	28	7.90e-10	38.5
A	39-2	89.655	29	2	1	1	28	1	29	8.81e-10	38.5
A	UP31	85.185	27	4	0	2	28	2	28	1.51e-09	37.7
A	161	92.857	28	1	1	2	28	2	29	1.56e-09	37.7
A	UP30	85.185	27	4	0	2	28	2	28	1.58e-09	37.7
A	UP2	89.286	28	2	1	2	28	2	29	3.33e-09	37.0
A	2	89.286	28	2	1	2	28	2	29	3.59e-09	37.0
A	17	89.286	28	2	1	2	28	2	29	3.97e-09	36.6
A	58	89.286	28	2	1	2	28	2	29	5.95e-09	36.2
A	UP40	82.143	28	5	0	1	28	1	28	6.15e-09	36.2
A	13	89.286	28	2	1	2	28	2	29	6.64e-09	36.2
A	27	89.286	28	2	1	2	28	2	29	6.94e-09	36.2
A	4	89.286	28	2	1	2	28	2	29	7.17e-09	36.2
A	UP29	89.286	28	2	1	2	28	2	29	7.25e-09	36.2
A	3	89.286	28	2	1	2	28	2	29	7.41e-09	35.8
A	Is2;74	85.714	28	3	1	2	28	2	29	1.15e-08	35.4
A	UP24	85.714	28	3	1	2	28	2	29	1.23e-08	35.4
A	sigma	85.714	28	3	1	2	28	2	29	1.69e-08	35.0
A	Ph3	85.714	28	3	1	2	28	2	29	1.75e-08	35.0
A	112	85.714	28	3	1	2	28	2	29	1.76e-08	35.0
A	113	85.714	28	3	1	2	28	2	29	1.78e-08	35.0
A	45	85.714	28	3	1	2	28	2	29	1.97e-08	35.0
A	93	82.759	29	4	1	1	28	1	29	1.98e-08	35.0
A	UP23	85.714	28	3	1	2	28	2	29	2.04e-08	35.0
A	94	85.714	28	3	1	2	28	2	29	2.07e-08	35.0
A	46	85.714	28	3	1	2	28	2	29	2.08e-08	35.0
A	100	85.714	28	3	1	2	28	2	29	2.27e-08	34.7
A	160	85.714	28	3	1	2	28	2	29	2.32e-08	34.7
A	15	85.714	28	3	1	2	28	2	29	2.35e-08	34.7
A	UP46	85.185	27	4	0	2	28	2	28	2.40e-08	34.7
A	157;158-2	85.714	28	3	1	2	28	2	29	2.40e-08	34.7
A	Ph7	85.714	28	3	1	2	28	2	29	2.45e-08	34.7
A	UP7	85.714	28	3	1	2	28	2	29	2.48e-08	34.7
A	155	85.714	28	3	1	2	28	2	29	2.62e-08	34.7
A	34	85.714	28	3	1	2	28	2	29	2.83e-08	34.7
A	Is5;77	85.714	28	3	1	2	28	2	29	2.86e-08	34.7
A	56	85.714	28	3	1	2	28	2	29	2.89e-08	34.7
A	124	82.143	28	4	1	2	28	2	29	3.12e-08	34.3
A	Ph18	85.714	28	3	1	2	28	2	29	3.19e-08	34.3
A	Ph17	85.714	28	3	1	2	28	2	29	3.30e-08	34.3
A	71	81.481	27	5	0	2	28	2	28	3.88e-08	34.3
A	87	88.889	27	2	1	2	27	2	28	4.06e-08	34.3
A	UP16	82.759	29	4	1	1	28	1	29	4.25e-08	34.3
A	10	85.714	28	3	1	2	28	2	29	4.39e-08	33.9
A	11	85.714	28	3	1	2	28	2	29	4.41e-08	33.9
A	EV7	85.714	28	3	1	2	28	2	29	4.71e-08	33.9
A	tau	85.714	28	3	1	2	28	2	29	4.74e-08	33.9
A	67	85.714	28	3	1	2	28	2	29	4.79e-08	33.9
A	EV8	85.714	28	3	1	2	28	2	29	4.90e-08	33.9
A	119	80.769	26	5	0	2	27	2	27	5.29e-08	33.9
A	152	88.889	27	2	1	2	27	2	28	5.41e-08	33.9
A	88;Ph20	82.143	28	4	1	2	28	2	29	5.41e-08	33.9
A	162	85.714	28	3	1	2	28	2	29	6.03e-08	33.9
A	UP45	81.481	27	5	0	2	28	2	28	6.23e-08	33.5
A	Ph6	82.143	28	4	1	2	28	2	29	6.30e-08	33.5
A	33	82.143	28	4	1	2	28	2	29	6.44e-08	33.5
A	54	82.143	28	4	1	2	28	2	29	6.51e-08	33.5
A	Ph5	82.143	28	4	1	2	28	2	29	6.59e-08	33.5
A	104	85.714	28	3	1	2	28	2	29	6.66e-08	33.5
A	12	88.889	27	2	1	3	28	3	29	7.27e-08	33.5
A	UP17	85.714	28	3	1	2	28	2	29	7.68e-08	33.5
A	63	88.889	27	2	1	3	28	3	29	7.85e-08	33.5
A	Ph4	82.143	28	4	1	2	28	2	29	7.94e-08	33.5
A	UP22	82.143	28	4	1	2	28	2	29	8.11e-08	33.5
A	Ph16	82.143	28	4	1	2	28	2	29	8.48e-08	33.5
A	UP26	82.143	28	4	1	2	28	2	29	9.25e-08	33.1
A	53	82.143	28	4	1	2	28	2	29	9.25e-08	33.1
A	151	82.143	28	4	1	2	28	2	29	9.67e-08	33.1
A	103;Me1	85.714	28	3	1	2	28	2	29	9.67e-08	33.1
A	UP25	85.714	28	3	1	2	28	2	29	9.99e-08	33.1
A	UP11	82.143	28	4	1	2	28	2	29	1.01e-07	33.1
A	161-2	82.143	28	4	1	2	28	2	29	1.01e-07	33.1
A	82	82.143	28	4	1	2	28	2	29	1.04e-07	33.1
A	R	85.185	27	3	1	2	27	2	28	1.04e-07	33.1
A	UP39	79.310	29	5	1	1	28	1	29	1.18e-07	33.1
A	150	77.778	27	6	0	2	28	2	28	1.31e-07	32.7
A	Ph13	85.714	28	3	1	2	28	2	29	1.33e-07	32.7
A	48	82.143	28	4	1	2	28	2	29	1.38e-07	32.7
A	68	88.462	26	2	1	4	28	4	29	1.47e-07	32.7
A	UP44	82.143	28	4	1	2	28	2	29	1.64e-07	32.7
A	141	85.185	27	3	1	2	27	2	28	1.69e-07	32.7
